City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-09-27 05:39:44,42.6001,-73.9662,53.73,88,10,4.59
1,Esperance,AU,2022-09-27 05:39:44,-33.8667,121.9,64.17,60,0,10.36
2,Rikitea,PF,2022-09-27 05:39:45,-23.1203,-134.9692,68.43,60,68,9.46
3,Busselton,AU,2022-09-27 05:39:45,-33.65,115.3333,64.35,59,0,7.72
4,Pahrump,US,2022-09-27 05:36:30,36.2083,-115.9839,77.25,15,0,4.59
5,Tiruchchendur,IN,2022-09-27 05:39:45,8.4833,78.1167,93.49,52,6,6.08
6,Iqaluit,CA,2022-09-27 05:36:42,63.7506,-68.5145,40.73,80,100,15.01
7,Zhuhai,CN,2022-09-27 05:39:46,22.2769,113.5678,95.86,74,40,17.27
8,Vaini,TO,2022-09-27 05:39:46,-21.2,-175.2,75.36,88,75,10.36
9,Keflavik,IS,2022-09-27 05:39:47,64.0049,-22.5624,41.43,65,0,3.44
10,Jamestown,US,2022-09-27 05:36:07,42.097,-79.2353,53.51,69,100,9.22
11,Avarua,CK,2022-09-27 05:39:47,-21.2078,-159.775,77.05,94,94,4.61
12,Atuona,PF,2022-09-27 05:39:47,-9.8,-139.0333,77.29,76,40,21.74
13,Ushuaia,AR,2022-09-27 05:39:47,-54.8,-68.3,31.73,93,78,6.38
14,Fairview,US,2022-09-27 05:36:42,40.8126,-73.999,69.01,58,100,9.22
15,Rio Grande,BR,2022-09-27 05:39:48,-32.035,-52.0986,57.72,91,0,8.77
16,Anqiu,CN,2022-09-27 05:39:48,36.4342,119.1925,78.58,37,74,5.48
17,Puerto Ayora,EC,2022-09-27 05:39:48,-0.7393,-90.3518,65.55,94,98,5.99
18,Laguna,US,2022-09-27 05:39:49,38.421,-121.4238,76.44,66,0,5.75
19,Clyde River,CA,2022-09-27 05:39:49,70.4692,-68.5914,34.03,100,100,17.27
20,Lebu,CL,2022-09-27 05:39:49,-37.6167,-73.65,49.05,95,73,13.53
21,Sovetskiy,RU,2022-09-27 05:39:50,61.3614,63.5842,35.38,54,88,9.17
22,Thompson,CA,2022-09-27 05:39:14,55.7435,-97.8558,32.16,86,40,0.0
